Source,Target,weight,isDirectional
119,6359,0.7647058823529411,True
119,6631,0.7778444682625973,True
119,7133,0.8003267306650411,True
119,7588,0.7882407813680822,True
119,8229,0.7431605356175383,True
119,8279,0.7312724241271307,True
119,9095,0.7514691493021793,True
120,3109,0.7745966692414833,True
120,7211,0.7590721152765896,True
120,8280,0.7590721152765896,True
120,8336,0.7745966692414833,True
120,9017,0.7590721152765896,True
120,9524,0.7590721152765896,True
121,1346,0.7559289460184545,True
121,1463,0.7778444682625973,True
121,2338,0.7412493166611012,True
121,2364,0.7857142857142858,True
121,2398,0.7590721152765896,True
121,3233,0.7778444682625973,True
121,4678,0.7768985960673559,True
121,6205,0.7590721152765896,True
121,6648,0.7559289460184545,True
121,9583,0.8153742483272114,True
122,112,0.7537783614444091,True
122,845,0.7882407813680822,True
122,3431,0.8488746876271653,True
122,3841,0.75,True
122,4496,0.7826237921249264,True
122,4651,0.8249579113843054,True
122,5392,0.76271276980969,True
122,5946,0.76271276980969,True
122,6932,0.76271276980969,True
122,7827,0.7882407813680822,True
122,7893,0.7745966692414833,True
122,8268,0.8488746876271653,True
122,8597,0.8385254915624211,True
122,8664,0.7660323462854265,True
122,8955,0.7882407813680822,True
122,9110,0.7537783614444091,True
122,9570,0.7660323462854265,True
132,4069,0.76271276980969,True
132,5894,0.807207352795575,True
132,6090,0.7412493166611013,True
132,6590,0.806225774829855,True
132,7811,0.76271276980969,True
132,8588,0.7412493166611013,True
132,8904,0.76271276980969,True
134,9411,0.7302967433402214,True
136,1617,0.7970811413304556,True
136,8165,0.7412493166611012,True
136,9459,0.7171371656006362,True
139,3107,0.7590721152765896,True
144,208,0.7526178090063818,True
144,606,0.7312724241271307,True
144,3159,0.7526178090063818,True
144,6940,0.7627700713964739,True
144,6945,0.7272727272727273,True
144,7111,0.7817359599705715,True
145,167,0.8017837257372732,True
145,379,0.8017837257372732,True
145,2336,0.8017837257372732,True
145,3288,0.7778444682625973,True
145,3741,0.7559289460184545,True
145,4800,0.8017837257372732,True
145,4819,0.8017837257372732,True
145,5099,0.7590721152765896,True
145,5171,0.7857142857142858,True
145,5529,0.7778444682625973,True
145,5970,0.7590721152765896,True
145,8818,0.7768985960673559,True
147,397,0.7462025072446365,True
147,3534,0.8249579113843054,True
147,3903,0.7826237921249264,True
147,5602,0.7844645405527362,True
147,5915,0.7462025072446365,True
151,383,0.7431605356175383,True
151,653,0.7778444682625973,True
151,1787,0.7647058823529411,True
151,2230,0.7431605356175383,True
151,2286,0.7431605356175383,True
151,2720,0.7669649888473705,True
151,3009,0.7789808377045201,True
151,3021,0.7514691493021793,True
151,3022,0.8003267306650411,True
151,3043,0.8003267306650411,True
151,3623,0.7647058823529411,True
151,4063,0.807207352795575,True
151,5932,0.7514691493021793,True
151,6480,0.7431605356175383,True
151,6526,0.7647058823529411,True
151,6648,0.7431605356175383,True
151,7453,0.7647058823529411,True
151,7491,0.7431605356175383,True
151,7929,0.7592566023652966,True
151,7990,0.7778444682625973,True
151,8143,0.7431605356175383,True
151,8704,0.7592566023652966,True
151,9501,0.7431605356175383,True
151,9549,0.7592566023652966,True
154,1327,0.76271276980969,True
154,1531,0.7526178090063818,True
154,1876,0.7844645405527362,True
154,1962,0.7526178090063818,True
154,2144,0.7692307692307694,True
154,2696,0.8362420100070909,True
154,3137,0.7692307692307694,True
154,4063,0.7692307692307694,True
154,5660,0.7844645405527362,True
154,5949,0.7635417155709334,True
156,239,0.7894736842105264,True
156,587,0.7570332986102252,True
156,5363,0.7509392614826383,True
156,6178,0.7570332986102252,True
156,7352,0.7894736842105264,True
156,7521,0.7789808377045201,True
156,8174,0.7789808377045201,True
156,8556,0.8111071056538127,True
156,8953,0.7970811413304556,True
156,9087,0.8111071056538127,True
156,9099,0.7570332986102252,True
156,9357,0.8029550685469662,True
157,793,0.7778444682625973,True
157,965,0.7882407813680822,True
157,2432,0.8488746876271653,True
157,4646,0.8574929257125441,True
157,4791,0.7882407813680822,True
157,5140,0.7514691493021793,True
157,6090,0.7778444682625973,True
157,6590,0.7592566023652966,True
157,7811,0.7882407813680822,True
157,7823,0.8140915784106942,True
157,8161,0.7647058823529411,True
157,9201,0.8140915784106942,True
157,9589,0.7647058823529411,True
161,500,0.7882407813680822,True
161,696,0.75,True
161,1881,0.75,True
161,2435,0.7882407813680822,True
161,3068,0.75,True
161,3300,0.76271276980969,True
161,3637,0.8488746876271653,True
161,3828,0.75,True
161,4476,0.7660323462854265,True
161,4755,0.75,True
161,5065,0.7938566201357353,True
161,5077,0.7882407813680822,True
161,6771,0.7745966692414833,True
161,6788,0.7938566201357353,True
164,280,0.8140915784106942,True
164,1783,0.7882407813680822,True
164,1851,0.8235294117647058,True
164,3334,0.7701540462154053,True
164,4131,0.8902638145194516,True
164,4496,0.8134892168199606,True
164,5157,0.7647058823529411,True
164,6263,0.7789808377045201,True
164,6325,0.8140915784106942,True
164,6327,0.8043996665398437,True
164,6364,0.7778444682625973,True
164,7942,0.7778444682625973,True
164,8597,0.8134892168199606,True
164,8955,0.7647058823529411,True
164,9165,0.7789808377045201,True
164,9312,0.7778444682625973,True
165,1478,0.7698003589195009,True
165,4076,0.7205766921228921,True
167,145,0.8017837257372732,True
167,1228,0.8029550685469662,True
167,3297,0.7745966692414833,True
167,3611,0.75,True
167,3741,0.8249579113843054,True
167,4116,0.7745966692414833,True
167,5099,0.7745966692414833,True
167,5410,0.7660323462854265,True
167,5843,0.75,True
167,5960,0.7537783614444091,True
167,6125,0.7882407813680822,True
167,6237,0.76271276980969,True
167,6459,0.7660323462854265,True
167,8697,0.75,True
170,1784,0.75,True
170,1785,0.7745966692414833,True
170,2735,0.7660323462854265,True
170,2999,0.75,True
170,3959,0.75,True
170,3964,0.75,True
170,4408,0.7938566201357353,True
170,5431,0.7882407813680822,True
170,6210,0.75,True
170,7258,0.75,True
170,7503,0.7660323462854265,True
170,7923,0.75,True
170,8267,0.7660323462854265,True
170,8317,0.7938566201357353,True
173,1074,0.7999999999999998,True
173,3165,0.8140915784106942,True
173,4970,0.7745966692414833,True
173,6569,0.7590721152765896,True
173,7630,0.7745966692414833,True
173,8453,0.7911548052852398,True
173,8760,0.77005354108682,True
173,8889,0.7911548052852398,True
173,8956,0.7745966692414833,True
173,9002,0.7877263614433762,True
173,9168,0.77005354108682,True
173,9308,0.7590721152765896,True
173,9494,0.7590721152765896,True
188,801,0.7778444682625973,True
188,7286,0.7590721152765896,True
188,8377,0.7778444682625973,True
188,9621,0.7590721152765896,True
190,861,0.8140915784106942,True
190,862,0.7778444682625973,True
190,1732,0.8235294117647058,True
190,2802,0.7789808377045201,True
190,3553,0.8488746876271653,True
190,3625,0.7882407813680822,True
190,3898,0.7882407813680822,True
190,3916,0.7514691493021793,True
190,4649,0.7789808377045201,True
190,7929,0.7592566023652966,True
190,8133,0.7938841860374446,True
192,787,0.8140915784106942,True
192,2159,0.7999999999999998,True
192,4936,0.7505553499465134,True
192,5911,0.7745966692414833,True
192,6459,0.7911548052852398,True
192,7718,0.7514691493021793,True
192,8557,0.7590721152765896,True
198,1797,0.828078671210825,True
198,2218,0.7999999999999998,True
198,3594,0.7514691493021793,True
198,3826,0.7453559924999297,True
198,7520,0.7333333333333332,True
200,957,0.787726361443376,True
200,3044,0.76271276980969,True
200,3184,0.7692307692307694,True
200,4613,0.7526178090063818,True
200,4749,0.8461538461538461,True
200,4766,0.7692307692307694,True
200,7082,0.7893522173763264,True
200,8475,0.7692307692307694,True
200,9513,0.787726361443376,True
205,77,0.7647058823529411,True
205,845,0.7647058823529411,True
205,948,0.7882407813680822,True
205,1829,0.8003267306650411,True
205,2730,0.8235294117647058,True
205,2839,0.8235294117647058,True
205,3959,0.8488746876271653,True
205,4563,0.7882407813680822,True
205,5093,0.7882407813680822,True
205,5431,0.7647058823529411,True
205,5447,0.7647058823529411,True
205,8597,0.8134892168199606,True
208,3159,0.7692307692307694,True
208,5001,0.787726361443376,True
208,6491,0.8320502943378437,True
208,6940,0.7893522173763264,True
208,7033,0.8320502943378437,True
208,7111,0.7844645405527362,True
208,7918,0.8006407690254357,True
208,7948,0.76271276980969,True
208,7953,0.8006407690254357,True
208,8217,0.787726361443376,True
